query,category
"Напиши функцию сортировки пузырьком на Python",code
"Исправь баг в этом коде: for i in range(10) print(i)",code
"Как сделать HTTP запрос на JavaScript?",code
"Write a recursive fibonacci function in C++",code
"Почему у меня TypeError: cannot unpack non-iterable NoneType object?",code
"Создай класс для работы с базой данных SQLite",code
"Как подключить WebSocket в FastAPI?",code
"Объясни что делает этот код: lambda x: x**2 + 1",code
"Напиши SQL запрос для выборки всех пользователей старше 18",code
"Помоги отрефакторить этот метод, он слишком длинный",code
"Как реализовать паттерн Observer на Java?",code
"Сделай мне регулярку для валидации email",code
"Почему git merge выдаёт конфликт и как его решить?",code
"Напиши unit тест для функции calculate_discount",code
"Как работает async/await в Python?",code
"Сверстай карточку товара на HTML и CSS",code
"Optimize this SQL query, it runs too slow",code
"Напиши скрипт для парсинга JSON из API",code
"Чем отличается interface от abstract class в TypeScript?",code
"Как настроить CORS в Express.js?",code
"Реши уравнение x² - 5x + 6 = 0",math
"Сколько будет 17% от 3500?",math
"Найди производную функции f(x) = 3x³ + 2x² - 7x",math
"Calculate the determinant of a 3x3 matrix",math
"Чему равен интеграл от e^x dx?",math
"Посчитай площадь треугольника со сторонами 3, 4, 5",math
"Какова вероятность выбросить 6 два раза подряд на кубике?",math
"Реши систему уравнений: 2x + y = 10, x - y = 2",math
"Сколько будет log₂(256)?",math
"Найди предел lim(x→0) sin(x)/x",math
"What is the sum of the first 100 natural numbers?",math
"Переведи 72°F в градусы Цельсия",math
"Докажи что √2 — иррациональное число",math
"Упрости выражение (a+b)² - (a-b)²",math
"Реши неравенство 3x - 7 > 2x + 5",math
"Посчитай объём цилиндра с радиусом 5 и высотой 10",math
"Сколько сочетаний из 10 по 3?",math
"Какой будет сложный процент на 100000 руб под 12% годовых за 3 года?",math
"Найди корни уравнения sin(x) = 0.5 на отрезке [0, 2π]",math
"Вычисли определитель матрицы [[1,2],[3,4]]",math
"Переведи на английский: Сегодня отличная погода для прогулки",translation
"Translate to Russian: The meeting has been rescheduled to next Monday",translation
"Как будет по-немецки «я хочу заказать кофе»?",translation
"Переведи на французский: Где находится ближайшая станция метро?",translation
"What does 'ни пуха ни пера' mean in English?",translation
"Переведи техническую документацию: The API returns a JSON response with status code 200",translation
"Как сказать по-японски «спасибо большое»?",translation
"Translate this error message to Russian: Connection timed out",translation
"Переведи на испанский: Мне нужен столик на двоих",translation
"Как переводится идиома 'it's raining cats and dogs'?",translation
"Переведи на английский деловое письмо: Уважаемый коллега, направляю вам отчёт",translation
"Translate to Chinese: Where is the nearest hospital?",translation
"Переведи с корейского: 감사합니다",translation
"Как будет на итальянском «приятного аппетита»?",translation
"Переведи на английский: Этот алгоритм работает за O(n log n)",translation
"Translate from German: Ich möchte ein Zimmer reservieren",translation
"Переведи субтитры к фильму: — Я не сдамся. — Ты уже проиграл.",translation
"Как по-английски сказать «давай созвонимся завтра»?",translation
"Переведи меню ресторана на русский: Grilled salmon with asparagus",translation
"Что значит латинское выражение 'carpe diem'?",translation
"Напиши стихотворение про осень в четыре строки",creative
"Придумай короткий рассказ про робота, который учится любить",creative
"Сочини поздравление с днём рождения для коллеги",creative
"Write a haiku about programming",creative
"Придумай 5 названий для стартапа по доставке еды",creative
"Напиши сценарий короткого ролика для TikTok про студентов",creative
"Сочини сказку на ночь для ребёнка 5 лет",creative
"Придумай слоган для кофейни",creative
"Напиши текст песни в стиле рэп про математику",creative
"Сочини диалог между котом и собакой",creative
"Придумай описание персонажа для D&D: эльф-волшебник",creative
"Напиши шутку про программистов",creative
"Write a short horror story in 100 words",creative
"Придумай пост для Instagram про путешествие в Сочи",creative
"Напиши мотивационный текст для утреннего поста",creative
"Сочини лимерик про физика",creative
"Придумай plot twist для детективного рассказа",creative
"Напиши описание товара для маркетплейса: беспроводные наушники",creative
"Сочини тост на свадьбу",creative
"Придумай 3 варианта концовки для фильма про путешествие во времени",creative
"Кто написал «Мастера и Маргариту»?",general
"Чем отличается TCP от UDP?",general
"Какие документы нужны для загранпаспорта?",general
"Расскажи про квантовые компьютеры простыми словами",general
"What is the capital of Australia?",general
"Порекомендуй книги по машинному обучению для начинающих",general
"Как работает блокчейн?",general
"Что лучше: iPhone или Samsung?",general
"Объясни теорию относительности как будто мне 10 лет",general
"Какие есть способы заработка в интернете?",general
"Почему небо голубое?",general
"Сравни React и Vue для фронтенда",general
"Какие витамины пить весной?",general
"Как подготовиться к собеседованию в IT компанию?",general
"Расскажи про историю создания Linux",general
"В чём разница между машинным обучением и глубоким обучением?",general
"Посоветуй фильмы похожие на Интерстеллар",general
"Как правильно заваривать чай пуэр?",general
"Какие тренды в веб-разработке в 2026 году?",general
"Что такое CRISPR и как это работает?",general
"Мне нужна функция которая принимает список словарей и возвращает новый список отсортированный по ключу age",code
"fix this: const arr = [1,2,3]; arr.map(x => { x * 2 }); // returns [undefined, undefined, undefined]",code
"Как правильно использовать контекстный менеджер with в Python для работы с файлами?",code
"У меня приложение на React зависает при рендеринге большого списка из 10000 элементов. Как оптимизировать? Пробовал React.memo но не помогло",code
"Напиши генератор паролей: длина 16 символов, обязательно буквы верхнего и нижнего регистра, цифры и спецсимволы",code
"Объясни разницу между shallow copy и deep copy в Python на примере вложенных списков",code
"Как сделать lazy loading картинок на сайте?",code
"Напиши класс для работы с очередью (Queue) с методами enqueue, dequeue, peek и is_empty",code
"Можешь проверить этот код? Он должен находить дубликаты в массиве но возвращает пустой список: def find_dupes(arr): return [x for x in arr if arr.count(x) > 1]",code
"Как реализовать WebSocket чат на Python с использованием asyncio?",code
"I need a bash script that recursively finds all .log files older than 30 days and compresses them with gzip",code
"Напиши запрос на SQLAlchemy: выбрать всех пользователей у которых есть хотя бы 3 заказа за последний месяц",code
"Как сделать drag and drop на чистом JavaScript без библиотек?",code
"Мне нужно написать парсер для сайта с пагинацией. Страницы грузятся через AJAX. Как это обойти?",code
"Напиши конфигурацию nginx для проксирования запросов к FastAPI серверу на порту 8000 с поддержкой WebSocket",code
"Как реализовать отмену HTTP запроса в fetch API с использованием AbortController?",code
"Почему при использовании setState в React внутри setTimeout я получаю старое значение стейта?",code
"Напиши тесты на pytest для функции которая валидирует email адреса",code
"Как настроить hot module replacement в Webpack 5?",code
"У меня утечка памяти в Node.js приложении. Как найти и исправить? Используются EventEmitter и множество подписок",code
"Сделай мне простой Telegram бот на aiogram который отвечает на команду /start и умеет отправлять inline-кнопки",code
"I have a pandas DataFrame with 1M rows and need to merge it with another DataFrame on two columns. What's the fastest way?",code
"Как правильно настроить ESLint и Prettier чтобы они не конфликтовали?",code
"Напиши функцию которая конвертирует римские числа в арабские и обратно",code
"Как сделать анимацию появления элементов при скролле на CSS без JavaScript?",code
"Мне нужен rate limiter для API на FastAPI — не больше 100 запросов в минуту на пользователя",code
"Как реализовать undo/redo функциональность в текстовом редакторе?",code
"Напиши CI/CD пайплайн для GitLab который запускает тесты, линтер и деплоит на сервер через SSH",code
"Почему у меня CORS ошибка когда фронтенд на localhost:3000 обращается к бэкенду на localhost:8000?",code
"Как написать свой итератор в Python с помощью __iter__ и __next__?",code
"Создай компонент модального окна на React с анимацией открытия/закрытия и закрытием по клику на оверлей",code
"Как правильно хранить пароли пользователей в базе данных? Покажи пример с bcrypt",code
"Напиши декоратор retry который повторяет вызов функции N раз при возникновении исключения с экспоненциальной задержкой",code
"Как сделать полнотекстовый поиск в PostgreSQL?",code
"У меня есть массив точек [{x, y}]. Напиши функцию которая находит выпуклую оболочку",code
"Как настроить SSL сертификат Let's Encrypt для домена через certbot?",code
"Напиши middleware для Express который логирует время выполнения каждого запроса и записывает в файл",code
"Реализуй паттерн Publisher/Subscriber на TypeScript с типизацией событий",code
"Как сделать виртуальный скролл для таблицы с миллионом строк в React?",code
"Напиши скрипт на Python который мониторит изменения в директории и автоматически перезапускает сервер",code
"Посчитай сколько будет если вложить 500000 рублей под 8.5% годовых на 5 лет с ежемесячной капитализацией",math
"Реши уравнение третьей степени: x³ - 6x² + 11x - 6 = 0",math
"Найди точки пересечения параболы y = x² - 4 и прямой y = 2x - 1",math
"Мне нужно посчитать расстояние между двумя точками на карте: Москва (55.7558° N, 37.6173° E) и Санкт-Петербург (59.9343° N, 30.3351° E). Используй формулу гаверсинуса",math
"Сколько различных 4-значных PIN-кодов можно составить если цифры не повторяются?",math
"Вычисли двойной интеграл ∬ xy dA по области ограниченной y=0, y=x, x=1",math
"Матрица A = [[2,1],[5,3]]. Найди обратную матрицу A⁻¹",math
"Какова вероятность того что в группе из 30 человек хотя бы у двоих совпадёт день рождения?",math
"Найди длину дуги кривой y = x^(3/2) от x=0 до x=4",math
"У меня есть прямоугольный участок земли площадью 600 м². Одна сторона на 10 метров длиннее другой. Найди стороны",math
"Реши матричное уравнение AX = B, где A = [[1,2],[3,4]], B = [[5],[6]]",math
"How many different ways can 8 people sit around a circular table?",math
"Найди сумму бесконечного ряда Σ(1/2^n) от n=0 до ∞",math
"Посчитай медиану и стандартное отклонение для выборки: 15, 22, 18, 31, 27, 19, 24, 16, 28, 20",math
"Реши дифференциальное уравнение y' + 2y = e^(-x)",math
"Какой минимальный размер выборки нужен для доверительного интервала 95% при допустимой ошибке 3%?",math
"Найди экстремумы функции f(x) = x⁴ - 8x² + 3",math
"Сколько граммов соли нужно добавить к 500 граммам 10%-ного раствора чтобы получить 25%-ный?",math
"Вычисли предел последовательности a_n = (3n² + 2n) / (5n² - n + 1) при n → ∞",math
"If a train travels at 120 km/h and another at 80 km/h in opposite directions, how long until they are 500 km apart?",math
"Найди угол между векторами a = (3, 4, 0) и b = (0, 4, 3)",math
"Стоимость товара увеличилась на 20%, потом снизилась на 20%. На сколько процентов изменилась итоговая цена?",math
"Посчитай ROI если вложил 150000 рублей и получил 195000 через год",math
"Реши систему линейных уравнений методом Крамера: 3x + 2y - z = 1, 2x - y + 3z = 13, x + 3y + 2z = 11",math
"Из колоды в 36 карт вытягивают 3 карты. Какова вероятность что все три — тузы?",math
"Найди производную функции f(x) = arctan(e^(2x))",math
"Периметр прямоугольного треугольника равен 60 см, а гипотенуза равна 25 см. Найди катеты",math
"Сколько нулей в конце числа 200!?",math
"Вычисли определённый интеграл от 0 до π/2 от sin²(x)dx",math
"Мне нужно разделить 10 конфет между 3 детьми. Сколько существует способов если конфеты одинаковые?",math
"Переведи официальное письмо: Уважаемые партнёры, информируем вас о переносе сроков поставки в связи с изменениями в логистической цепочке. Просим подтвердить получение данного уведомления",translation
